Webhook rejected -> 2022-11-30 21:21:44 | verify: 61b230556ab536e305617a0b3d649cc0 | v-original: a23sk3d9123ka31sd3k5asd9123sad93
Webhook From Poster -> 2022-11-30 21:24:36 | object: transaction | action: added | JsonDATA: {"account":"techworld-co","object":"transaction","object_id":22,"action":"added","time":"1669861476","account_number":"936062","data":"{\"transactions_history\":{\"type_history\":\"open\",\"time\":1669861475627,\"value\":4,\"value2\":1,\"value3\":2,\"value4\":1,\"value5\":0,\"value_text\":\"{\\\"uses_payed_cert\\\":\\\"1\\\",\\\"round_whole\\\":\\\"1\\\",\\\"service_mode\\\":1}\",\"user_id\":4,\"spot_tablet_id\":1}}"}
Webhook From Poster -> 2022-11-30 21:24:38 | object: transaction | action: changed | JsonDATA: {"account":"techworld-co","object":"transaction","object_id":22,"action":"changed","time":"1669861478","account_number":"936062","data":"{\"transactions_history\":{\"type_history\":\"additem\",\"time\":1669861477659,\"value\":3,\"value2\":1,\"value3\":0,\"value4\":0,\"value5\":null,\"value_text\":\"{\\\"price\\\":3,\\\"unit\\\":\\\"p\\\",\\\"nodiscount\\\":0,\\\"tax\\\":[]}\",\"user_id\":4,\"spot_tablet_id\":1}}"}
Webhook From Poster -> 2022-11-30 21:24:41 | object: stock | action: changed | JsonDATA: {"account":"techworld-co","object":"stock","object_id":10,"action":"changed","time":"1669861480","account_number":"936062","data":"{\"type\":1,\"element_id\":10,\"storage_id\":1,\"value_relative\":-0.03,\"value_absolute\":9.81091}"}
Webhook From Poster -> 2022-11-30 21:24:42 | object: stock | action: changed | JsonDATA: {"account":"techworld-co","object":"stock","object_id":9,"action":"changed","time":"1669861480","account_number":"936062","data":"{\"type\":1,\"element_id\":9,\"storage_id\":1,\"value_relative\":-0.008,\"value_absolute\":1.96}"}
Webhook From Poster -> 2022-11-30 21:24:42 | object: stock | action: changed | JsonDATA: {"account":"techworld-co","object":"stock","object_id":8,"action":"changed","time":"1669861480","account_number":"936062","data":"{\"type\":1,\"element_id\":8,\"storage_id\":1,\"value_relative\":-0.15,\"value_absolute\":3.18892}"}
Webhook From Poster -> 2022-11-30 21:24:42 | object: stock | action: changed | JsonDATA: {"account":"techworld-co","object":"stock","object_id":7,"action":"changed","time":"1669861481","account_number":"936062","data":"{\"type\":1,\"element_id\":7,\"storage_id\":1,\"value_relative\":-1,\"value_absolute\":95}"}
Webhook From Poster -> 2022-11-30 21:24:42 | object: stock | action: changed | JsonDATA: {"account":"techworld-co","object":"stock","object_id":6,"action":"changed","time":"1669861481","account_number":"936062","data":"{\"type\":1,\"element_id\":6,\"storage_id\":1,\"value_relative\":-1,\"value_absolute\":45}"}
Webhook From Poster -> 2022-11-30 21:24:43 | object: stock | action: changed | JsonDATA: {"account":"techworld-co","object":"stock","object_id":5,"action":"changed","time":"1669861481","account_number":"936062","data":"{\"type\":1,\"element_id\":5,\"storage_id\":1,\"value_relative\":-1,\"value_absolute\":95}"}
Webhook From Poster -> 2022-11-30 21:24:43 | object: transaction | action: closed | JsonDATA: {"account":"techworld-co","object":"transaction","object_id":22,"action":"closed","time":"1669861481","account_number":"936062","data":"{\"transactions_history\":{\"type_history\":\"close\",\"time\":1669861479889,\"value\":3,\"value2\":300,\"value3\":0,\"value4\":0,\"value5\":null,\"value_text\":\"{\\\"payments\\\":{\\\"cash\\\":3},\\\"reason\\\":\\\"\\\",\\\"loyalty_app_id\\\":0,\\\"payment_method_id\\\":0,\\\"tip_included\\\":0,\\\"round_sum\\\":0,\\\"tip_sum\\\":0,\\\"privat_id\\\":0,\\\"group_id\\\":0,\\\"payed_card_id\\\":0,\\\"payed_card_type\\\":0,\\\"loyalty_type\\\":0,\\\"isReopen\\\":false,\\\"products\\\":[{\\\"id\\\":3,\\\"modification\\\":0,\\\"promotion_id\\\":0,\\\"round_sum\\\":0,\\\"count\\\":1}],\\\"one_coin_discount_v2\\\":true}\",\"user_id\":4,\"spot_tablet_id\":1}}"}
Webhook From Poster -> 2022-11-30 21:46:56 | object: transaction | action: added | JsonDATA: {"account":"techworld-co","object":"transaction","object_id":23,"action":"added","time":"1669862815","account_number":"936062","data":"{\"transactions_history\":{\"type_history\":\"open\",\"time\":1669862814773,\"value\":4,\"value2\":1,\"value3\":2,\"value4\":1,\"value5\":0,\"value_text\":\"{\\\"uses_payed_cert\\\":\\\"1\\\",\\\"round_whole\\\":\\\"1\\\",\\\"service_mode\\\":1}\",\"user_id\":4,\"spot_tablet_id\":1}}"}
